Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
1,,,,,,,,1.42
2,,,,,,,,63.38
3,,,,,,,,196.64
4,,,,,,,,94.87
5,,,,,,,,187.03
6,,,,,,,,63.62
7,,,,,,,,62.53
8,,,,,,,,63.99
9,,,,,,,,191.33
10,,,,,,,,63.61
11,,,,,,,,199.46
12,,,,,,,,56.9
13,,,,,,,,63.95
14,,,,,,,,37.54
15,,,,,,,,62.09
16,,,,,,,,62.93
17,,,,,,,,184.61
18,,,,,,,,63.07
19,,,,,,,,191.85
20,,,,,,,,63.67
21,,,,,,,,168.9
22,,,,,,,,66.77
23,,,,,,,,178.16
24,,,,,,,,63.88
25,,,,,,,,200.28
26,,,,,,,,63.39
27,,,,,,,,192.52
28,,,,,,,,63.85
29,,,,,,,,37.88
30,,,,,,,,65.51
31,,,,,,,,54.15
32,,,,,,,,45.82
33,,,,,,,,95.7
34,,,,,,,,67.73
35,,,,,,,,81.55
36,,,,,,,,65.75
37,,,,,,,,54.28
38,,,,,,,,62.37
39,,,,,,,,197.47
40,,,,,,,,44.33
41,,,,,,,,61.85
42,,,,,,,,68.79
43,,,,,,,,63.8
44,,,,,,,,55.39
45,,,,,,,,60.32
46,,,,,,,,63.94
47,,,,,,,,123.98
48,,,,,,,,0.0
49,,,,,,,,104.58
50,,,,,,,,63.49
51,,,,,,,,14.18
52,,,,,,,,31.96
53,,,,,,,,37.71
54,,,,,,,,28.14
55,,,,,,,,31.2
56,,,,,,,,35.79
57,,,,,,,,35.52
58,,,,,,,,29.24
59,,,,,,,,28.56
60,,,,,,,,27.43
61,,,,,,,,62.52
62,,,,,,,,24.73
63,,,,,,,,0.0
64,,,,,,,,192.13
65,,,,,,,,23.84
66,,,,,,,,31.58
67,,,,,,,,63.31
68,,,,,,,,38.58
69,,,,,,,,40.06
70,,,,,,,,31.92
71,,,,,,,,31.33
72,,,,,,,,29.48
73,,,,,,,,31.93
74,,,,,,,,29.89
75,,,,,,,,26.35
76,,,,,,,,31.48
77,,,,,,,,31.85
78,,,,,,,,20.96
79,,,,,,,,30.27
80,,,,,,,,23.77
81,,,,,,,,37.16
82,,,,,,,,31.97
83,,,,,,,,31.96
84,,,,,,,,34.31
85,,,,,,,,31.53
86,,,,,,,,31.43
87,,,,,,,,46.22
88,,,,,,,,34.49
89,,,,,,,,42.25
90,,,,,,,,38.48
91,,,,,,,,20.95
92,,,,,,,,25.97
93,,,,,,,,31.91
94,,,,,,,,31.9
