Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
1,,,,,,,,1.3
2,,,,,,,,4.41
3,,,,,,,,4.16
4,,,,,,,,4.36
5,,,,,,,,4.27
6,,,,,,,,4.55
7,,,,,,,,2.9
8,,,,,,,,2.7
9,,,,,,,,2.18
10,,,,,,,,3.99
11,,,,,,,,4.43
12,,,,,,,,4.42
13,,,,,,,,4.59
14,,,,,,,,4.41
15,,,,,,,,4.41
16,,,,,,,,4.64
17,,,,,,,,4.65
18,,,,,,,,4.5
19,,,,,,,,4.64
20,,,,,,,,4.62
21,,,,,,,,4.29
22,,,,,,,,4.39
23,,,,,,,,3.81
24,,,,,,,,3.95
25,,,,,,,,3.61
26,,,,,,,,4.03
27,,,,,,,,4.09
28,,,,,,,,3.98
29,,,,,,,,3.87
30,,,,,,,,3.74
31,,,,,,,,3.75
32,,,,,,,,3.79
33,,,,,,,,3.57
34,,,,,,,,3.57
35,,,,,,,,3.69
36,,,,,,,,3.8
37,,,,,,,,4.0
38,,,,,,,,4.01
39,,,,,,,,3.88
40,,,,,,,,2.96
41,,,,,,,,3.94
42,,,,,,,,4.21
43,,,,,,,,4.05
44,,,,,,,,4.17
45,,,,,,,,4.06
46,,,,,,,,3.74
47,,,,,,,,4.12
48,,,,,,,,3.84
49,,,,,,,,4.28
50,,,,,,,,4.14
51,,,,,,,,2.94
52,,,,,,,,3.79
53,,,,,,,,3.26
54,,,,,,,,3.38
55,,,,,,,,3.59
56,,,,,,,,3.83
57,,,,,,,,3.72
58,,,,,,,,3.88
59,,,,,,,,3.75
60,,,,,,,,3.45
61,,,,,,,,3.52
62,,,,,,,,3.6
63,,,,,,,,3.58
64,,,,,,,,3.52
65,,,,,,,,3.21
66,,,,,,,,2.99
67,,,,,,,,4.33
68,,,,,,,,4.47
69,,,,,,,,4.07
70,,,,,,,,3.8
71,,,,,,,,3.66
72,,,,,,,,3.93
73,,,,,,,,3.74
74,,,,,,,,3.38
75,,,,,,,,3.56
76,,,,,,,,3.73
77,,,,,,,,3.52
78,,,,,,,,3.28
79,,,,,,,,3.71
80,,,,,,,,3.38
81,,,,,,,,3.4
82,,,,,,,,3.41
83,,,,,,,,3.41
84,,,,,,,,2.68
85,,,,,,,,3.14
86,,,,,,,,3.75
87,,,,,,,,2.9
88,,,,,,,,3.04
89,,,,,,,,3.77
90,,,,,,,,3.4
91,,,,,,,,3.63
92,,,,,,,,3.72
93,,,,,,,,2.85
94,,,,,,,,3.14
95,,,,,,,,3.59
96,,,,,,,,3.91
97,,,,,,,,3.54
98,,,,,,,,3.24
99,,,,,,,,3.46
100,,,,,,,,3.37
101,,,,,,,,2.71
102,,,,,,,,4.33
103,,,,,,,,3.84
104,,,,,,,,4.01
105,,,,,,,,4.08
106,,,,,,,,4.37
107,,,,,,,,4.05
108,,,,,,,,4.13
109,,,,,,,,3.95
110,,,,,,,,4.06
111,1.0,0.0,0.5793,7.0,324.0,1822.0,952.0,3.48
112,1.0,0.0,0.5705,9.0,324.0,1835.0,942.0,3.88
113,1.0,0.0,0.5781,7.0,306.0,1844.0,940.0,3.52
114,1.0,0.0,0.5819,4.0,295.0,1840.0,922.0,3.3
115,1.0,0.0,0.5858,3.0,300.0,1855.0,898.0,3.54
116,1.0,0.0,0.6052,1.0,288.0,1856.0,893.0,3.22
117,1.0,0.0,0.6111,0.0,270.0,1856.0,886.0,3.74
118,1.0,0.0,0.642,0.0,250.0,1860.0,868.0,3.87
119,1.0,0.0,0.6147,0.0,238.0,1853.0,895.0,3.87
120,1.0,0.0,0.6606,0.0,233.0,1860.0,896.0,3.75
121,1.0,0.0,0.6855,0.0,228.0,1844.0,874.0,3.34
122,1.0,0.0,0.7374,0.0,219.0,1752.0,864.0,3.51
123,1.0,0.0,0.7132,0.0,205.0,1695.0,871.0,3.39
124,1.0,0.0,0.7444,0.0,173.0,1724.0,893.0,3.31
125,1.0,0.0,0.7468,0.0,154.0,1741.0,898.0,3.45
126,1.0,0.0,0.7594,0.0,145.0,1772.0,923.0,3.72
127,1.0,0.0,0.7366,0.0,134.0,1773.0,968.0,3.79
128,1.0,0.0,0.7375,0.0,122.0,1811.0,964.0,3.48
129,1.0,0.0,0.7699,0.0,130.0,1828.0,903.0,3.65
130,1.0,0.0,0.784,0.0,117.0,1841.0,884.0,3.12
131,1.0,0.0,0.755,0.0,92.0,1847.0,885.0,2.65
132,1.0,0.0,0.7715,0.0,69.0,1867.0,902.0,2.76
133,1.0,0.0,0.7986,0.0,63.0,1888.0,935.0,3.06
134,1.0,0.0,0.7955,0.0,55.0,1900.0,939.0,3.68
135,1.0,0.0,0.8132,0.0,49.0,1908.0,930.0,3.75
136,1.0,0.0,0.8199,0.0,47.0,1916.0,924.0,3.72
137,1.0,0.0,0.8199,4.0,44.0,1918.0,929.0,3.72
138,1.0,0.0,0.8392,5.0,42.0,1918.0,927.0,3.96
139,1.0,0.0,0.8353,2.0,39.0,1916.0,933.0,3.74
140,1.0,0.0,0.8328,0.0,40.0,1916.0,925.0,3.62
141,1.0,0.0,0.8178,0.0,42.0,1916.0,924.0,3.2
142,1.0,0.0,0.8217,0.0,38.0,1912.0,919.0,3.64
143,1.0,0.0,0.8371,0.0,39.0,1915.0,909.0,3.44
144,1.0,0.0,0.829,0.0,43.0,1918.0,877.0,3.32
145,1.0,0.0,0.8232,1.0,46.0,1914.0,886.0,3.52
146,1.0,0.0,0.8417,0.0,38.0,1917.0,902.0,3.8
147,1.0,0.0,0.827,0.0,40.0,1917.0,909.0,3.63
148,1.0,0.0,0.8602,0.0,34.0,1918.0,917.0,2.97
149,1.0,0.0,0.8621,1.0,34.0,1917.0,914.0,2.9
150,1.0,0.0,0.8532,1.0,34.0,1914.0,910.0,2.61
151,1.0,0.0,0.8753,1.0,39.0,1913.0,915.0,3.81
152,1.0,0.0,0.8621,2.0,37.0,1916.0,918.0,3.43
153,1.0,0.0,0.8327,2.0,43.0,1919.0,920.0,3.27
154,1.0,0.0,0.8384,4.0,44.0,1920.0,923.0,3.46
155,1.0,0.0,0.8476,2.0,43.0,1920.0,914.0,3.73
156,1.0,0.0,0.8927,1.0,41.0,1920.0,913.0,3.77
157,1.0,0.0,0.8839,1.0,35.0,1920.0,916.0,3.92
158,1.0,0.0,0.8833,2.0,27.0,1920.0,917.0,3.97
159,1.0,0.0,0.873,3.0,19.0,1920.0,916.0,3.91
160,1.0,0.0,0.8674,3.0,12.0,1920.0,924.0,3.66
161,1.0,0.0,0.8709,4.0,9.0,1920.0,931.0,3.43
162,1.0,0.0,0.8389,4.0,6.0,1920.0,928.0,3.69
163,1.0,0.0,0.8598,3.0,4.0,1920.0,922.0,3.32
164,1.0,0.0,0.8511,2.0,0.0,1920.0,928.0,3.19
165,1.0,0.0,0.8534,2.0,0.0,1920.0,920.0,3.59
166,1.0,0.0,0.8386,1.0,0.0,1918.0,931.0,3.76
167,1.0,0.0,0.8563,1.0,0.0,1917.0,927.0,3.01
168,1.0,0.0,0.844,6.0,0.0,1918.0,922.0,2.94
169,1.0,0.0,0.8418,3.0,0.0,1917.0,929.0,2.89
170,1.0,0.0,0.848,2.0,0.0,1915.0,948.0,4.07
171,1.0,0.0,0.8356,1.0,0.0,1912.0,954.0,3.76
172,1.0,0.0,0.8268,0.0,0.0,1911.0,940.0,4.01
173,1.0,0.0,0.8282,0.0,0.0,1911.0,945.0,3.48
174,1.0,0.0,0.8407,0.0,0.0,1909.0,936.0,3.73
175,1.0,0.0,0.8228,0.0,0.0,1910.0,953.0,3.7
176,1.0,0.0,0.8116,3.0,0.0,1915.0,968.0,3.91
177,1.0,0.0,0.8112,0.0,0.0,1912.0,958.0,3.65
178,1.0,0.0,0.8216,0.0,0.0,1912.0,927.0,3.85
179,1.0,0.0,0.8028,0.0,0.0,1908.0,914.0,3.64
180,1.0,0.0,0.813,0.0,0.0,1909.0,926.0,3.52
181,1.0,0.0,0.8092,0.0,0.0,1910.0,934.0,3.43
182,1.0,0.0,0.7242,0.0,0.0,1909.0,953.0,3.48
183,1.0,0.0,0.7631,0.0,0.0,1898.0,966.0,3.19
184,1.0,0.0,0.6284,0.0,0.0,1914.0,992.0,3.16
185,1.0,0.0,0.2985,1.0,0.0,1920.0,994.0,3.53
186,1.0,0.0,0.5147,0.0,1.0,1918.0,999.0,3.62
187,1.0,0.0,0.543,0.0,1.0,1918.0,1009.0,3.52
188,1.0,0.0,0.5677,0.0,2.0,1910.0,996.0,3.55
189,1.0,0.0,0.6677,0.0,2.0,1882.0,990.0,2.92
190,1.0,0.0,0.8006,0.0,3.0,1904.0,969.0,3.67
191,1.0,0.0,0.7252,1.0,4.0,1913.0,947.0,3.7
192,1.0,0.0,0.7953,4.0,5.0,1915.0,982.0,3.97
193,1.0,0.0,0.7959,9.0,6.0,1920.0,922.0,3.12
194,1.0,0.0,0.8258,7.0,5.0,1916.0,916.0,2.78
195,1.0,0.0,0.8234,0.0,2.0,1905.0,891.0,3.78
196,1.0,0.0,0.815,4.0,3.0,1902.0,859.0,3.52
197,1.0,0.0,0.7646,0.0,2.0,1898.0,862.0,3.77
198,1.0,0.0,0.8234,11.0,1.0,1904.0,851.0,3.64
199,1.0,0.0,0.8329,14.0,0.0,1907.0,864.0,3.66
200,1.0,0.0,0.8336,10.0,0.0,1909.0,857.0,3.22
201,1.0,0.0,0.8422,9.0,0.0,1902.0,841.0,3.28
202,1.0,0.0,0.8402,8.0,0.0,1901.0,851.0,3.47
203,1.0,0.0,0.8309,0.0,0.0,1903.0,847.0,3.23
204,1.0,0.0,0.8225,1.0,0.0,1904.0,877.0,3.27
205,1.0,0.0,0.8112,4.0,0.0,1903.0,880.0,3.72
206,1.0,0.0,0.7935,4.0,0.0,1905.0,873.0,3.2
207,1.0,0.0,0.7991,5.0,0.0,1907.0,869.0,3.58
208,1.0,0.0,0.8113,5.0,0.0,1908.0,854.0,3.8
209,1.0,0.0,0.8041,11.0,0.0,1909.0,843.0,2.84
210,1.0,0.0,0.7911,0.0,0.0,1913.0,858.0,3.02
211,1.0,0.0,0.8121,0.0,1.0,1915.0,856.0,2.94
212,1.0,0.0,0.8432,0.0,0.0,1916.0,886.0,3.46
213,1.0,0.0,0.8438,0.0,2.0,1912.0,849.0,3.58
214,1.0,0.0,0.8338,0.0,0.0,1914.0,843.0,3.66
